HUMIDITY,TEMPERATURE,PRESSURE,WEATHER FORECAST
88,284.11,1014,1
78,284.49,1014,7
69,284.57,1014,0
61,283.06,1015,0
61,280.53,1015,0
61,282.74,1015,0
69,285.53,1016,0
74,285.53,1017,0
78,285.01,1017,0
78,284.12,1018,1
78,284.23,1018,1
78,283.29,1019,1
78,282.82,1021,0
83,282.2,1021,0
83,281.11,1022,1
83,281.22,1022,7
83,280.73,1023,0
83,280.24,1023,1
88,279.87,1024,1
88,280.39,1024,1
82,280.14,1025,1
88,279.65,1025,4
93,279.52,1025,5
83,281.89,1026,5
76,284.35,1027,5
74,286.05,1026,5
68,286.87,1022,3
47,288.55,1022,3
39,289.84,1021,3
39,290.71,1023,5
32,290.79,1023,4
39,291.18,1023,5
43,289.85,1023,5
57,287.25,1023,5
60,285.31,1024,3
53,284.7,1024,3
60,284.24,1023,3
72,283.07,1024,3
77,282.78,1023,3
77,281.63,1023,3
77,281.5,1022,3
72,281.17,1022,3
77,280.65,1021,3
82,280.54,1020,3
87,280.81,1020,3
72,280.7,1019,5
72,282.61,1018,4
60,285.41,1019,4
46,289.1,1019,5
40,290.47,1019,5
43,292.43,1018,5
46,295.41,1017,5
38,296.75,1016,5
38,297.47,1015,4
38,297.3,1015,4
46,296.16,1015,4
68,294.17,1015,4
77,291.73,1014,4
72,290.83,1014,4
72,289.9,1015,1
77,289.14,1016,4
77,287.52,1015,1
82,286.94,1014,3
82,287.82,1014,3
77,287.62,1015,3
82,286.1,1014,3
72,285.16,1014,3
82,283.27,1014,3
72,281.53,1014,3
67,281.77,1013,5
72,282.83,1012,5
72,286.42,1012,4
84,289.41,1013,4
77,290.71,1011,1
77,293.63,1006,3
77,294.37,1004,3
83,296.45,1002,3
78,296.83,1001,3
78,297.72,1000,3
78,297.1,1003,5
83,294.96,1003,4
88,294.26,1003,4
88,292.87,1003,4
88,291.21,1004,1
88,289.84,1005,7
93,286.1,1006,1
93,284.01,1008,3
93,284.02,1007,3
93,283.5,1008,3
93,282.95,1008,3
100,282.4,1007,3
93,281.91,1008,3
93,281.5,1010,3
93,281.16,1010,3
93,280.88,1012,4
93,281.5,1013,3
88,282.34,1014,5
78,282.92,1014,5
69,284.12,1013,5
51,285.75,1013,5
48,286.51,1012,5
40,286.99,1012,5
38,287.27,1012,5
38,286.56,1012,5
61,285.16,1012,3
73,283.31,1013,3
77,282.72,1013,3
77,281.14,1014,3
64,280.25,1015,3
63,278.99,1016,3
60,277.34,1017,3
60,275.49,1018,3
49,273.89,1019,3
67,272.98,1019,3
55,273.29,1018,3
51,273.17,1018,3
51,273.56,1017,3
51,274.11,1018,3
42,276.86,1019,5
42,278.71,1019,3
30,280.71,1019,3
25,283.26,1018,3
25,285.76,1018,5
23,289.54,1018,3
22,289.73,1018,3
20,290.34,1018,5
20,290.6,1018,5
23,289.76,1018,3
30,288.24,1018,3
35,285.82,1018,3
48,284.35,1019,3
52,283.85,1020,3
55,282.58,1020,3
59,279.74,1020,3
71,278.62,1020,3
62,277.75,1019,3
66,277.59,1019,3
71,276.98,1019,3
71,277.27,1018,3
76,278.44,1018,3
81,278.02,1018,3
81,278.47,1018,5
66,279.53,1018,4
34,284.1,1018,1
28,288.57,1017,1
22,289.62,1016,1
15,289.77,1016,1
16,292.04,1015,1
15,293.26,1014,1
15,292.89,1013,1
15,292.95,1013,1
16,292.56,1013,1
23,291.28,1013,1
51,289.27,1013,1
55,288.42,1014,1
48,288.26,1014,1
55,288.75,1014,7
51,287.86,1014,7
54,287.67625,1013,7
57,287.4925,1012,7
60,287.30875,1012,7
64,287.125,1011,7
67,286.94125,1010,7
70,286.7575,1010,7
73,286.57375,1009,7
77,286.39,1009,3
74,287.5088889,1008,7
71,288.6277778,1008,7
69,289.7466667,1008,7
66,290.8655556,1008,7
64,291.9844444,1007,7
61,293.1033333,1007,1
59,294.2222222,1007,1
56,295.3411111,1007,1
54,296.46,1007,1
57,294.95,1007,1
63,292.8875,1007,1
70,290.825,1007,1
76,288.7625,1007,1
83,286.7,1008,1
83,286.18,1008,4
83,286.36,1009,4
83,286.67,1008,3
83,285.35,1008,3
88,284.62,1009,3
88,284.22,1009,3
88,283.3,1009,3
88,284.12,1009,3
86,284.765,960,3
85,285.41,911,3
84,286.055,862,3
83,286.7,814,3
65,290.48,1012,4
71,291.22,1013,4
54,292.08,1013,4
54,293.36,1012,5
45,292.97,1011,5
40,293.38,1011,5
42,293.35,1011,5
45,292.48,1011,4
51,289.85,1012,4
57,287.41,1012,4
61,286.13,1013,5
64,284.23,1014,3
73,282.95,1014,3
78,282.03,1014,3
83,280.49,1014,3
83,279.84,1014,3
83,279.7,1014,3
83,278.49,1014,3
83,278.06,1014,3
83,276.8,1014,3
83,277.99,1014,3
83,277.29,1014,5
78,278.06,1014,5
78,281.62,1014,4
65,283.66,1014,4
57,285.6,1014,4
54,289.46,1009,3
45,289.27,1007,3
42,290.64,1006,3
40,292.9,1009,4
40,292.91,1008,4
58,291.46,1008,4
65,289.15,1008,5
69,286.49,1008,5
73,285.57,1008,5
78,284.16,1009,5
78,283.96,1008,3
83,283.73,1008,5
83,282.67,1007,3
83,281.8,1007,3
78,281.93,1007,3
83,282.71,1007,3
83,283.47,1007,3
83,285.26,1007,3
83,283.3,1007,3
83,282.12,1007,4
83,283.55,1007,4
88,287.22,1008,4
83,291.04,1008,4
83,294.22,1008,4
83,295.75,1008,5
78,297.07,1007,4
69,297.25,1006,4
65,297.26,1006,4
57,296.32,1007,1
57,295.55,1007,1
65,293.32,1007,1
78,289.35,1008,1
78,289.63,1009,7
78,288.47,1010,7
78,285.13,1013,4
83,283.4,1014,1
83,281.33,1014,3
83,279.79,1014,3
83,279.76,1014,4
83,279.22,1014,7
83,279.39,1014,7
88,279.27,1014,7
88,279.19,1014,7
88,279.44,1014,7
85,279.625,1014,7
83,279.81,1014,7
69,280.79,1013,1
54,281.96,1013,7
50,283.43,1008,3
42,283.52,1010,7
39,284.21,1009,7
42,282.83,1008,7
39,281.38,1009,7
44,279.76,1009,0
57,281.48,1009,3
64,279.82,1010,3
60,293.42,807,3
64,293.42,807,3
68,293.42,807,3
77,293.42,807,3
83,271.99,1018,9
83,270.95,1019,9
83,271.09,1019,9
83,270.95,1019,9
83,270.86,1020,9
83,270.86,1020,9
83,270.86,1021,9
83,270.69,1021,9
83,270.69,1022,9
78,271.91,1022,1
57,271.56,1022,7
57,273.74,1022,7
57,273.31,1022,7
63,273.34,1021,1
54,273.46,1021,1
48,273.58,1021,7
48,273.55,1021,7
54,272.66,1022,7
57,272.52,1022,9
78,271.46,1023,9
78,271.89,1023,9
78,271.86,1023,9
60,271.49,1024,9
59,271.62,1023,9
63,271.52,1024,9
59,271.35,1024,9
55,271.87,1025,8
54,271.27,1025,9
54,270.32,1026,9
54,270.95,1027,9
58,269.93,1028,9
62,269.81,1028,9
62,269.58,1029,9
62,269.95,1029,7
93,270.32,1030,9
87,272.28,1030,4
93,273.18,1029,7
76,275.33,1028,1
66,276,1027,4
62,276.6,1026,4
62,277.54,1025,5
62,276.4,1025,4
62,274.06,1024,5
62,272.64,1024,5
50,272.66,1024,5
53,271.49,1023,4
53,272.31,1022,4
55,272.2,1021,4
54,271.44,1021,3
53,270.53,1020,11
52,270.45,1021,11
52,269.71,1020,11
56,268.87,1020,11
56,269.28,1019,9
56,269.29,1020,9
56,269.07,1020,9
56,270.87,1020,9
52,272.83,1020,9
55,276.21,1019,1
43,278.4,1019,4
35,280.28,1019,4
33,281.24,1018,4
33,281.48,1018,4
33,281.04,1018,1
35,282.4,1018,1
36,281.82,1018,1
43,278.9,1019,1
43,276.98,1019,1
43,275.87,1020,1
44,276.2,1020,4
46,274.04,1020,4
54,273.6,1020,4
50,274.4,1020,3
32,274.21,1020,3
57,273.42,1020,3
56,273.41,1020,3
57,273.32,1019,3
61,273.29,1019,3
62,273.2,1019,3
47,273.39,1019,4
46,274.47,1021,4
37,276.46,1019,4
35,279.65,1019,4
30,283.19,1018,1
33,285.18,1018,1
32,286.49,1018,1
29,287.86,1017,1
27,287.59,1017,1
27,287.27,1017,1
29,286.72,1017,4
57,284.75,1017,4
47,282.31,1018,4
43,281.35,1018,4
37,280.17,1019,1
66,280.23,1019,4
87,279.62,1020,4
53,279.97,1019,3
86,279.33,1020,3
86,278.93,1020,3
93,279.31,1020,3
93,279.67,1020,4
94,280,1020,1
57,280.7,1020,3
93,281.62,1021,1
93,282.25,1021,1
46,283.75,1022,1
47,286.67,1021,1
46,289.67,1021,1
45,291.25,1021,1
31,291.61,1017,3
29,291.27,1020,1
29,291.28,1019,1
29,289.25,1019,1
36,288.14,1020,1
38,287.58,1020,1
58,286.01,1020,1
49,283.14,1020,4
50,282.94,1020,3
81,281.52,1021,4
81,280.66,1021,4
81,281.27,1021,5
70,281.36,1021,3
75,281.39,1021,3
81,281.58,1021,3
81,281,1021,3
81,279.76,1021,3
86,279.37,1022,3
86,279.16,1022,5
76,280.46,1023,5
62,282.98,1023,4
63,285.31,1023,5
55,289.11,1023,4
58,289.33,1023,1
58,290.2,1021,1
49,290.93,1020,1
46,292.44,1020,1
43,292.75,1019,4
46,291.66,1019,1
56,289.26,1020,1
72,286.35,1021,1
82,285.99,1021,1
87,285.43,1021,1
87,284.97,1021,1
87,282.98,1022,1
93,282.27,1022,1
87,282.09,1021,3
93,281.58,1021,3
93,281.46,1022,3
87,279.65,1021,4
93,281.01,1021,3
87,280.55,1021,3
93,281.06,1021,4
93,281.38,1021,5
88,284.61,1022,5
88,286.98,1022,5
73,289.08,1022,4
57,290.93,1023,4
44,292.13,1022,4
44,293.89,1021,4
44,294,1018,3
41,293.27,1021,1
41,291.44,1021,1
56,289.96,1021,1
72,286.79,1022,1
82,284.01,1022,1
87,283.53,1022,1
87,283.24,1022,4
77,282.81,1022,4
87,281.75,1022,3
93,281.49,1021,3
93,279.5,1021,3
93,280.48,1020,3
93,280,1020,3
93,279.93,1019,3
93,279.59,1019,3
93,280.35,1018,1
93,280.39,1018,1
93,282.95,1018,7
88,285.48,1018,7
57,288.1,1018,7
50,289.52,1017,7
42,289.72,1013,3
39,292.98,1016,7
44,294.01,1015,7
51,292.95,1015,7
39,290.64,1015,7
43,286.89,1016,1
77,285.44,1016,1
72,283.78,1016,1
77,282.35,1016,1
72,283.82,1016,1
77,284.39,1016,1
87,283.66,1015,3
93,283.16,1015,3
93,284.03,1015,1
93,283.63,1015,7
93,282.93,1016,7
93,283.15,1016,1
93,282.77,1016,3
93,281.5,1017,7
93,281.35,1018,7
93,282.1,1018,7
68,283.32,1018,7
64,284.13,1019,1
60,285.84,1019,1
53,285.49,1016,3
44,286.51,1016,3
41,286.89,1016,3
42,286.55,1016,3
41,285.33,1019,1
57,282.9,1019,1
68,281.15,1020,1
60,280.61,1021,1
68,278.83,1021,1
77,278.81,1021,1
77,277.36,1022,1
88,278.87,1022,3
93,276.96,1022,3
88,275.15,1022,3
93,276.58,1022,3
90,276.51,1021,3
87,276.44,1021,3
93,275.92,1022,3
93,275.14,1022,4
88,275.86,1022,4
88,278.57,1023,1
83,281.51,1022,1
73,283.78,1023,1
61,284.25,1019,3
54,285.61,1019,3
50,286.2,1021,1
47,287.43,1021,1
47,287.54,1021,1
47,286.27,1021,1
56,283.59,1021,1
72,282.38,1022,4
77,280.35,1022,4
82,278.87,1022,4
87,277.41,1022,4
87,278.92,1023,5
93,278.19,1022,3
93,277.83,1022,3
88,277.83,1021,3
88,277.54,1022,3
88,277.12,1022,3
87,277.42,1022,3
93,277.5,1022,3
93,278.21,1020,3
87,278.57,1021,3
68,280.05,1020,3
60,281.37,1020,3
49,285.28,1020,3
44,287.5,1020,3
41,289.1,1020,3
51,290.57,1019,3
50,290.23,920,4
49,289.89,822,3
49,289.89,822,3
49,284.26,1022,3
49,287.075,922,4
49,289.89,822,3
49,289.89,822,3
49,289.89,822,3
49,289.89,822,3
49,289.89,822,3
90,275.93,825,3
90,275.93,825,3
90,275.93,825,3
90,275.93,825,3
90,275.93,825,3
90,275.93,825,3
73,279.61,826,3
73,279.61,826,3
73,279.61,826,3
73,279.61,826,3
61,283.11,891,4
50,286.61,956,1
39,290.11,1022,1
32,290.85,1022,1
28,291.17,1018,3
36,291.57,1018,3
39,290.46,1020,7
53,288.85,1021,1
56,287.56,1021,1
60,287.58,1021,4
56,287.14,1021,4
52,286.94,1022,4
55,284.81,1023,4
59,284.7,1022,3
67,283.58,1022,3
71,282.68,1023,4
71,281.59,1024,3
71,281.25,1024,4
71,280.09,1024,4
76,279.99,1024,4
75,279.52,1025,5
58,279.82,1025,4
41,282.65,1026,5
38,286.1,1026,5
30,287.64,1026,5
30,288.98,1026,5
35,290.02,1025,5
33,290.9,1024,5
27,291.81,1020,3
23,291.88,1020,3
22,290.41,1023,5
42,286.95,1024,5
54,285.74,1024,5
62,284.44,1024,5
71,282.9,1024,5
76,281.97,1023,3
87,282.78,1023,3
87,281.8,1023,3
81,280.11,1023,3
81,280.92,1022,3
81,280.32,1022,3
87,279.18,1021,3
87,280.49,1021,3
87,279.8,1020,3
81,279.93,1020,4
81,281.05,1020,4
67,283.41,1020,5
45,286.49,1019,5
43,287.9,1016,3
38,291.24,1015,3
34,293.13,1013,3
31,294.75,1012,3
28,295.76,1012,3
30,296.12,1015,4
31,293.92,1015,4
59,289.64,1015,4
63,288.33,1015,5
67,286.93,1016,5
72,283.15,1016,3
59,283.7,1016,3
71,282.64,1016,3
76,282.61,1016,3
82,281.55,1015,3
87,281.34,1015,3
87,281.64,1015,3
82,282.29,1015,3
87,280.72,1015,3
87,280.38,1013,3
93,280.32,1013,3
87,281.45,1013,3
77,281.82,1014,3
68,284.07,1014,3
56,285.3,1017,1
47,285.11,1013,3
33,285.85,1016,1
38,285.88,1014,1
29,286.42,1013,1
31,286.5,1013,1
31,286.04,1013,1
46,283.34,1013,4
59,281.68,1013,4
72,280.6,1013,4
72,279.74,1012,4
82,279.49,1012,4
88,279.29,1011,4
88,279.27,1011,3
88,277.5,1010,3
93,277.32,1009,3
93,277.24,1008,3
93,277.86,1008,3
93,276.6,1007,3
93,277.08,1007,3
88,277,1007,4
88,276.83,1007,1
82,277.96,1007,4
77,280.94,1007,4
64,283.68,1006,4
62,285.61,1006,4
53,287.64,1005,5
44,288.31,1003,5
41,288.32,1003,3
39,288.7,1000,3
41,287.09,1002,5
57,284.63,1002,5
49,282.41,1003,5
56,283.42,1002,5
68,283.22,1003,5
72,284.2,1002,5
77,284.01,1001,5
82,285.33,1001,3
93,284.84,1000,3
93,284.92,999,3
88,283.1,1000,3
93,283.72,999,3
93,283.4,998,3
88,283.17,997,3
88,282.81,997,3
82,281.66,999,3
82,282.42,998,1
64,277.97,999,7
60,276.63,1000,9
57,276.78,1001,9
50,276.36,1000,7
44,274.42,1001,11
44,274.75,1000,11
44,275.13,1001,11
59,274.81,1002,11
49,274,1003,11
58,271.03,1005,9
60,270.78,1007,9
